"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER_PART_NUMBER";"PROD_ID";"SF_ID";"VALUE";"VENDOR";
"10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C1, C2, C4, C8, C9, C10, C11, C12, C13, C18";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"1";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"C16";"CAP-00868";"";"CAP-00868";"";"1.0uF";"";
"3";"10k";"10KOHM-0603-1/10W-1%";"0603";"R2, R3, R4";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"1";"10nF";"10NF/10000PF-50V-10%(0603)";"0603-CAP";"C17";"CAP-00867";"";"CAP-00867";"";"10nF";"";
"3";"10uF";"10UF-POLAR-EIA3216-16V-10%(TANT)";"EIA3216";"C3, C6, C15";"10.0µF polarized capacitors";"";"CAP-00811";"";"10uF";"";
"1";"1571984-1";"1571984-1";"SWITCH_1571984-1";"U5";"";"15719841";"";"";"";"TE Connectivity";
"1";"16MHz";"RESONATOR-16MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"Y1";"16MHz Resonator";"";"XTAL-08900";"";"16MHz";"";
"1";"1A/40V/500mV";"DIODE-SCHOTTKY-SS14";"SMA-DIODE";"D1";"Schottky diode";"";"DIO-08053";"";"1A/40V/500mV";"";
"1";"1A/60V/500mΩ";"MOSFET-PCH-ZXMP6A13F";"SOT23-3";"Q1";"P-channel MOSFETs";"";"TRANS-08285";"";"1A/60V/500mΩ";"";
"1";"1M";"1MOHM-0603-1/4W-5%";"0603";"R7";"1MΩ resistor";"";"RES-07868";"";"1M";"";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R8";"1kΩ resistor";"";"RES-07856";"";"1k";"";
"1";"240";"240OHM-0603-1/10W-1%";"0603";"R15";"240Ω resistor";"";"RES-07849";"";"240";"";
"3";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R12, R16";"4.7kΩ resistor";"";"RES-07857";"";"4.7k";"";
"1";"47uF";"47UF-POLAR-PANASONIC_D-35V-20%";"PANASONIC_D";"C5";"47µF polarized capacitors";"";"CAP-08478";"";"47uF";"";
"1";"715";"715OHM-0603-1/10W-1%";"0603";"R14";"715Ω resistor";"";"RES-07850";"";"715";"";
"1";"AMP FCI 10103594-0001LF";"USB_MICRO-B_HALF_PTH_MILL";"USB-MICROB-PTH-MILL";"J1";"USB Type Micro-B Connector";"";"CONN-13711";"";"";"";
"1";"AP2112-3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U3";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"VREG-12457";"";"3.3V";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U4";"";"";"IC-09069";"";"ATMEGA328P_TQFP";"";
"1";"BM06B-SRSS-TB";"JST_6_PIN_HORIZONTAL";"JST-6-SMD-HORI-1.0MM";"J4";"JST 6 pin horizontal connector";"";"XXX-00000";"";"BM06B-SRSS-TB";"";
"1";"Blue";"LED-BLUE_HIDDENSILK";"LED-1206-HIDDENSILK";"LED1";"Blue SMD LED";"";"DIO-09911";"";"";"";
"1";"CH340C";"CH340C";"SO016";"U1";"";"";"IC-14038";"";"";"";
"1";"GREEN";"LED-GREEN_HIDDENSILK";"LED-1206-HIDDENSILK";"LED5";"Green SMD LED";"";"DIO-00862";"";"";"";
"1";"GREEN";"LED-GREEN_HIDDENSILK";"LED-1206-HIDDENSILK";"LED2";"Green SMD LED";"";"DIO-09910";"";"";"";
"1";"ISP";"AVR_SPI_PROG_3X2SMD";"2X3_SMT_POSTS";"J2";"AVR ISP 6 Pin";"";"CONN-11415";"";"";"";
"4";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"JP2, JP3, JP4, JP5";"Normally closed trace jumper";"";"";"";"";"";
"1";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"JUMPER-SMT_3_1-NC_TRACE_NO-SILK";"SMT-JUMPER_3_1-NC_TRACE_NO-SILK";"JP6";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";
"1";"LIGHT_SENSORALS";"LIGHT_SENSORALS";"ALS-PT19";"U2";"Ambient Light Sensors - Phototransistors";"";"IC-11836";"SEN-12566";"";"";
"1";"LM1117";"V_REG_LM1117ALT1";"SOT223-ALT1";"IC3";"Voltage Regulator LM1117";"";"VREG-08170";"";"";"";
"1";"M10SMD_COMBO";"M10SMD_COMBO";"1X10_SMD_COMBINED";"JP1";"Header 10";"";"CONN-11219";"";"";"";
"1";"POWER_JACKSUPER_BOMB_DIGITY";"POWER_JACKSUPER_BOMB_DIGITY";"POWER_JACK_SMD_OVERPASTE_SUPER_BOMB_DIGITY";"J3";"Power Jack";"";"CONN-08106";"";"";"";
"1";"PPTC_6V500MA";"PPTC_6V500MA";"0805";"F1";"Resettable Fuse PPTC";"";"";"";"";"";
"1";"RESET";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM-TALL";"TACTILE_SWITCH_SMD_5.2MM";"S1";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"SWCH-14139";"";"";"";
"1";"TP-063";"TP-063";"TP-063";"TP1";"TEST POINT";"";"";"";"";"";
"1";"Yellow";"LED-YELLOW_HIDDENSILK";"LED-1206-HIDDENSILK";"D3";"Yellow SMD LED";"";"DIO-09909";"";"";"";
